instrument,harmo1,harmo2,harmo3
oboe,6.781,10.535,13.979
oboe,13.644,17.731,8.612
oboe,12.03,11.336,6.839
flute,-21.039,-13.667,-21.415
oboe,-1.58,7.374,3.133
oboe,12.275,10.83,6.318
oboe,8.952,-1.497,6.507
oboe,9.127,-2.536,6.27
trumpet,-9.017,-25.103,-25.153
oboe,8.071,9.519,4.487
oboe,6.456,11.042,9.063
trumpet,-5.025,-23.837,-19.669
trumpet,-6.313,-20.826,-19.913
oboe,13.257,22.562,10.201
trumpet,-11.47,-3.593,-24.322
oboe,11.153,9.842,6.724
oboe,14.297,16.259,10.126
trumpet,-5.37,-16.114,-24.815
oboe,14.825,14.167,8.481
oboe,13.087,11.964,2.846
trumpet,-5.921,-19.994,-17.983
trumpet,-5.165,-23.412,-19.802
flute,-22.062,-16.912,-24.202
oboe,4.625,12.647,4.139
oboe,6.817,12.479,17.985
oboe,11.327,9.259,7.153
trumpet,-5.306,-15.745,-15.556
oboe,7.129,13.654,18.852
oboe,13.46,13.387,6.698
trumpet,-3.576,-14.871,-17.048
oboe,7.24,8.942,14.716
flute,-16.917,-21.226,-25.141
oboe,12.803,10.612,6.604
flute,-14.621,-15.362,-21.98
trumpet,-4.398,-23.039,-19.577
oboe,6.278,10.025,13.917
oboe,3.642,9.125,-5.111
oboe,14.156,14.092,5.466
flute,-18.786,-23.084,-21.114
oboe,-3.357,11.167,-9.717
flute,-18.63,-25.584,-23.462
oboe,11.616,10.23,5.432
flute,-16.441,-12.842,-24.15
oboe,13.915,12.786,5.537
trumpet,-4.7,-24.493,-20.885
trumpet,-4.046,-22.396,-23.081
oboe,6.227,11.822,8.946
oboe,8.569,9.001,9.461
oboe,11.431,10.815,9.36
oboe,7.867,7.534,11.494
flute,-20.45,-19.732,-24.162
flute,-21.78,-19.538,-24.686
flute,-15.601,-12.644,-22.329
trumpet,-4.92,-25.693,-21.896
flute,-17.992,-18.678,-25.96
trumpet,-5.818,-17.504,-23.412
flute,-24.026,-19.214,-21.618
trumpet,-7.021,-16.724,-23.573
oboe,14.707,12.266,21.917
trumpet,-5.505,-21.465,-20.182
trumpet,-6.503,-6.66,-22.613
flute,-17.427,-24.676,-23.841
trumpet,-5.43,-21.324,-15.546
oboe,7.115,14.068,18.296
trumpet,-9.379,-18.725,-21.869
oboe,12.372,18.439,12.649
trumpet,-3.489,-20.163,-19.665
oboe,10.74,8.415,5.789
oboe,7.238,4.271,11.755
trumpet,-10.004,-17.781,-17.877
trumpet,-10.825,-15.167,-19.51
flute,-19.12,-22.96,-19.698
oboe,6.938,12.722,19.104
trumpet,-6.748,-21.934,-20.305
oboe,9.83,9.488,1.314
oboe,4.388,9.336,-0.308
oboe,7.428,12.902,17.391
oboe,-0.338,2.294,16.127
oboe,6.554,11.622,16.323
oboe,7.145,11.9,17.183
oboe,13.418,13.92,9.744
oboe,9.419,9.092,-1.307
flute,-19.614,-19.347,-23.439
oboe,6.902,10.361,4.755
oboe,7.182,10.547,13.778
oboe,6.816,10.769,16.25
trumpet,-5.786,-22.159,-20.175
trumpet,-13.69,-22.102,-24.921
trumpet,-4.035,-19.72,-22.257
oboe,13.494,13.539,5.914
trumpet,-11.149,-12.397,-20.576
oboe,8.009,-0.526,15.454
oboe,7.881,13.625,19.342
oboe,7.56,11.847,16.93
flute,-16.43,-18.915,-24.184
trumpet,-4.237,-15.016,-18.37
oboe,13.74,14.158,5.468
oboe,4.828,-2.938,16.199
trumpet,-2.928,-16.118,-19.588
trumpet,-8.41,-16.73,-16.332
flute,-24.791,-20.501,-25.335
trumpet,-14.155,-16.13,-20.202
flute,-17.922,-18.81,-23.142
trumpet,-3.992,-14.573,-19.247
oboe,16.557,9.67,23.246
oboe,17.391,21.901,12.761
trumpet,-7.248,-17.417,-22.518
trumpet,-7.558,-19.981,-21.436
oboe,14.404,14.443,5.658
trumpet,-4.55,-13.98,-15.235
oboe,6.553,14.457,17.627
trumpet,-3.319,-16.245,-17.465
oboe,3.459,8.768,-8.188
oboe,5.456,-6.707,15.414
oboe,15.02,18.121,12.215
flute,-15.691,-16.035,-19.555
oboe,9.478,10.852,11.171
oboe,7.667,4.776,10.738
trumpet,-5.929,-21.326,-20.602
trumpet,-7.068,-18.614,-18.344
flute,-23.303,-19.639,-25.662
oboe,10.398,12.634,12.416
trumpet,-9.454,-19.764,-24.839
trumpet,-4.885,-23.288,-19.357
trumpet,-6.948,-24.635,-23.896
oboe,7.041,11.2,14.038
oboe,8.494,9.152,-1.286
oboe,8.236,9.412,10.013
oboe,6.636,9.724,16.116
flute,-18.986,-18.073,-25.948
flute,-15.97,-18.293,-25.262
oboe,14.4,18.009,12.65
flute,-20.516,-22.247,-24.156
oboe,6.233,9.865,5.269
oboe,7.164,12.32,16.0
trumpet,-8.932,-17.665,-16.778
oboe,7.493,11.871,11.082
oboe,6.767,14.43,16.944
oboe,14.035,12.765,8.283
flute,-19.737,-16.795,-21.669
oboe,1.563,9.71,-13.197
oboe,-4.959,9.877,4.284
oboe,6.933,11.994,16.293
oboe,13.022,10.185,5.727
flute,-22.016,-19.325,-21.48
flute,-15.738,-22.797,-24.867
trumpet,-7.084,-20.795,-17.172
oboe,7.562,11.219,10.317
oboe,4.034,8.689,15.01
oboe,3.71,12.489,7.062
flute,-20.199,-20.234,-21.346
flute,-19.044,-18.939,-22.141
oboe,6.699,9.319,3.904
flute,-21.049,-17.952,-19.891
trumpet,-10.698,-13.609,-20.248
oboe,7.414,11.519,17.375
trumpet,-11.743,-23.767,-19.895
trumpet,-5.223,-25.221,-22.296
trumpet,-5.746,-23.808,-18.928
oboe,6.865,12.009,18.922
trumpet,-6.282,-14.624,-23.238
flute,-15.987,-15.093,-21.394
oboe,0.806,9.094,-6.74
flute,-16.854,-21.545,-23.184
oboe,12.92,11.841,6.595
oboe,8.397,3.425,10.033
trumpet,-4.606,-17.24,-18.804
oboe,13.986,14.521,6.719
oboe,7.641,12.85,18.4
oboe,11.755,11.221,9.027
flute,-18.881,-19.376,-20.993
trumpet,-5.874,-11.335,-25.868
oboe,11.747,15.107,20.647
oboe,8.687,-2.886,7.689
oboe,11.802,9.452,6.925
oboe,12.135,11.237,8.294
oboe,10.163,14.898,19.321
oboe,7.581,11.091,7.408
oboe,7.088,11.086,10.372
oboe,16.19,9.375,23.139
flute,-19.925,-13.736,-18.796
flute,-22.057,-19.395,-25.711
trumpet,-5.301,-18.012,-23.161
oboe,10.578,11.301,11.361
oboe,8.435,10.723,8.753
flute,-19.878,-25.706,-25.575
oboe,1.206,11.68,0.192
oboe,-0.441,11.265,1.424
oboe,6.172,9.236,1.284
oboe,7.898,10.016,12.191
trumpet,-4.865,-21.507,-17.675
oboe,-2.21,11.53,3.258
trumpet,-4.715,-19.005,-25.326
oboe,6.235,11.867,9.44
oboe,7.167,12.199,16.698
oboe,13.759,13.984,6.181
oboe,1.704,8.041,-14.645
oboe,4.921,9.582,-6.397
trumpet,-16.261,-16.015,-23.908
trumpet,-17.467,-22.885,-24.571
flute,-15.332,-18.569,-22.215
oboe,-0.427,8.969,-8.657
oboe,11.81,11.617,10.27
oboe,14.484,12.064,6.373
trumpet,-4.646,-14.051,-19.084
flute,-22.613,-19.531,-24.038
trumpet,-9.517,-16.118,-25.171
flute,-21.626,-17.082,-22.262
oboe,6.751,12.408,17.258
trumpet,-8.015,-16.809,-18.659
oboe,7.913,5.132,17.108
oboe,6.511,10.072,14.33
trumpet,-8.307,-16.497,-24.029
trumpet,-6.235,-18.724,-15.191
oboe,14.004,15.459,6.075
oboe,8.129,14.312,19.333
oboe,-0.052,7.782,2.462
oboe,6.228,14.178,17.735
oboe,-1.599,8.33,-1.619
oboe,11.457,10.353,10.139
oboe,6.414,13.49,16.213
oboe,14.269,12.303,8.226
trumpet,-6.237,-16.386,-14.469
trumpet,-5.039,-22.765,-19.918
trumpet,-11.616,-16.736,-23.475
flute,-21.719,-13.765,-19.325
oboe,6.72,9.776,-2.424
oboe,14.009,14.795,7.085
oboe,7.018,12.87,17.943
oboe,4.497,16.986,16.981
oboe,6.54,11.289,16.963
flute,-19.259,-21.707,-20.315
oboe,12.403,11.766,7.77
flute,-23.57,-18.954,-24.531
oboe,-0.354,9.077,-0.228
oboe,10.618,9.58,6.469
oboe,5.446,10.567,1.036
trumpet,-10.756,-15.628,-20.146
oboe,13.779,11.359,6.561
oboe,7.234,12.301,17.129
oboe,10.555,9.863,8.57
oboe,14.004,18.242,12.559
oboe,13.708,16.1,21.31
oboe,14.386,18.543,12.576
oboe,13.894,12.382,7.607
oboe,4.192,16.54,16.787
oboe,8.764,8.496,4.736
oboe,3.977,10.611,5.732
oboe,14.597,17.711,12.137
oboe,7.023,11.863,17.317
flute,-15.016,-15.619,-17.868
oboe,11.885,10.24,6.583
trumpet,-3.933,-24.237,-20.781
trumpet,-4.48,-18.474,-21.168
oboe,7.971,1.417,10.564
oboe,7.135,14.227,18.313
trumpet,-8.395,-18.38,-20.572
oboe,7.798,12.743,14.301
trumpet,-4.335,-21.383,-20.453
trumpet,-12.575,-15.426,-23.9
trumpet,-7.556,-14.641,-15.825
trumpet,-5.508,-20.857,-20.054
flute,-22.513,-13.436,-22.773
oboe,6.992,9.893,11.501
flute,-21.617,-21.466,-23.185
flute,-20.609,-18.892,-23.001
oboe,0.656,11.076,0.771
oboe,13.092,21.775,11.667
oboe,6.462,14.508,18.036
oboe,12.603,16.412,12.251
trumpet,-5.583,-16.534,-14.253
trumpet,-6.579,-20.492,-18.626
flute,-20.518,-19.444,-22.504
oboe,12.377,18.421,10.87
oboe,4.167,9.35,1.733
flute,-18.472,-19.807,-22.896
oboe,13.974,22.399,12.442
oboe,12.381,19.481,12.038
flute,-15.155,-13.583,-22.34
flute,-21.67,-23.661,-21.299
oboe,6.692,11.784,15.6
trumpet,-5.033,-18.836,-19.052
oboe,13.069,18.582,12.896
trumpet,-5.078,-18.001,-16.445
oboe,14.134,21.675,12.447
oboe,-1.091,2.551,16.201
oboe,13.54,13.636,7.438
flute,-17.32,-20.352,-21.604
trumpet,-9.948,-14.001,-25.194
flute,-22.971,-13.223,-19.917
flute,-17.062,-16.626,-24.629
oboe,14.05,14.108,5.627
oboe,10.966,9.585,5.358
trumpet,-14.459,-15.768,-23.524
oboe,1.894,0.905,15.889
oboe,5.682,12.426,4.902
trumpet,-6.125,-22.743,-18.859
oboe,11.401,10.828,9.998
flute,-15.677,-19.073,-22.692
oboe,9.649,10.657,11.02
flute,-17.69,-21.528,-19.156
trumpet,-4.891,-19.891,-19.767
oboe,8.116,12.409,11.126
flute,-19.627,-17.754,-24.224
trumpet,-16.761,-16.528,-23.327
oboe,4.069,9.29,-5.595
oboe,18.32,23.541,13.992
trumpet,-4.505,-16.238,-18.723
oboe,13.811,14.011,7.235
oboe,14.06,15.734,6.001
oboe,13.375,12.016,1.368
oboe,12.074,10.725,7.051
oboe,4.803,17.221,17.423
flute,-23.167,-12.763,-22.133
flute,-17.847,-24.918,-21.014
trumpet,-9.695,-17.729,-22.169
oboe,14.366,16.743,10.766
trumpet,-2.862,-13.885,-17.376
trumpet,-5.78,-23.25,-14.905
oboe,6.23,12.596,6.937
oboe,13.979,19.547,13.644
trumpet,-6.42,-16.085,-23.172
oboe,4.904,8.549,4.235
oboe,6.737,9.852,16.38
trumpet,-5.888,-19.898,-20.098
trumpet,-3.405,-16.101,-19.138
trumpet,-6.199,-22.625,-19.037
oboe,13.165,11.03,3.681
oboe,-1.449,7.331,3.334
oboe,13.869,23.171,10.941
oboe,13.22,11.764,3.129
oboe,-2.384,8.542,9.553
oboe,5.794,10.122,14.018
trumpet,-13.794,-15.208,-24.922
oboe,-1.934,8.702,0.387
oboe,2.886,9.456,-1.88
trumpet,-6.073,-21.873,-19.621
oboe,6.646,10.374,14.224
oboe,12.915,13.968,9.944
flute,-16.055,-13.971,-23.141
oboe,14.506,22.123,12.107
oboe,6.658,10.843,13.829
oboe,14.279,11.928,5.761
oboe,12.085,11.392,6.467
oboe,9.613,11.989,11.451
trumpet,-7.406,-16.647,-17.709
trumpet,-7.889,-26.007,-22.879
flute,-22.509,-11.519,-19.752
oboe,18.701,24.08,14.243
oboe,10.544,14.58,20.251
trumpet,-10.071,-15.384,-20.673
oboe,14.277,18.095,12.853
oboe,7.536,11.533,15.396
oboe,13.828,19.265,13.735
flute,-18.391,-19.087,-23.653
oboe,4.56,8.675,-4.095
oboe,10.002,10.711,11.688
flute,-16.426,-20.024,-23.671
oboe,14.474,11.808,4.947
oboe,-1.19,9.304,-2.878
trumpet,-5.871,-13.82,-24.898
oboe,8.952,9.321,9.526
oboe,7.271,10.229,5.312
trumpet,-7.994,-20.352,-17.492
trumpet,-8.972,-15.87,-21.724
trumpet,-5.665,-16.396,-17.416
oboe,8.135,7.001,8.673
flute,-20.705,-19.054,-23.402
flute,-15.177,-17.927,-22.892
oboe,13.787,17.826,12.197
oboe,11.996,19.048,12.038
trumpet,-2.999,-14.785,-19.539
flute,-14.035,-15.529,-18.232
trumpet,-7.27,-18.882,-20.153
oboe,-2.473,7.49,0.201
trumpet,-8.217,-10.89,-24.329
flute,-17.538,-14.249,-23.903
oboe,0.781,11.398,1.737
trumpet,-7.793,-10.541,-25.882
trumpet,-3.706,-12.96,-17.662
flute,-19.298,-25.48,-21.296
oboe,6.228,13.015,17.674
oboe,-7.884,6.199,-0.2
oboe,7.187,10.264,13.587
oboe,6.995,11.928,16.712
oboe,9.694,12.276,11.978
oboe,8.371,9.365,3.764
trumpet,-5.455,-23.753,-22.518
trumpet,-6.447,-19.915,-19.075
trumpet,-10.086,-14.417,-18.554
trumpet,-3.293,-15.433,-18.129
oboe,6.189,14.161,15.992
oboe,11.595,9.324,6.316
oboe,3.25,8.188,15.08
oboe,6.39,14.533,17.74
trumpet,-4.645,-20.014,-25.899
trumpet,-10.38,-15.833,-20.324
trumpet,-9.831,-17.285,-20.607
oboe,3.873,12.172,7.006
trumpet,-10.803,-11.212,-24.762
trumpet,-5.328,-17.87,-23.619
trumpet,-4.926,-13.837,-17.068
oboe,15.761,20.729,11.142
trumpet,-5.087,-20.814,-24.681
trumpet,-5.199,-16.489,-22.963
oboe,7.227,10.673,10.716
oboe,12.208,11.765,5.002
flute,-20.002,-23.919,-23.215
trumpet,-3.427,-14.768,-19.454
oboe,13.468,17.367,11.856
oboe,3.522,15.08,15.49
oboe,-4.613,8.659,-5.027
oboe,13.213,12.147,7.676
oboe,6.367,14.013,15.803
oboe,-3.417,8.208,0.228
flute,-18.526,-21.144,-22.489
oboe,7.285,9.042,13.439
oboe,-1.778,9.896,-6.323
trumpet,-5.304,-22.559,-13.686
oboe,6.077,9.659,-1.775
oboe,11.098,10.798,9.344
oboe,6.934,13.987,17.176
oboe,14.85,21.941,11.346
trumpet,-13.151,-16.351,-24.061
flute,-17.844,-25.431,-23.258
trumpet,-8.301,-23.228,-17.481
oboe,-1.427,11.776,0.586
flute,-19.977,-20.163,-25.312
oboe,-0.279,6.329,13.904
trumpet,-4.213,-22.49,-16.803
oboe,7.389,11.366,13.775
flute,-16.58,-15.792,-20.385
oboe,14.182,12.408,3.308
flute,-25.576,-20.536,-23.172
trumpet,-7.854,-19.638,-23.831
oboe,6.699,9.111,1.938
trumpet,-9.229,-11.704,-24.202
oboe,13.312,18.368,9.595
oboe,13.322,11.593,4.149
trumpet,-10.103,-14.242,-19.167
trumpet,-10.182,-16.306,-24.039
trumpet,-7.089,-10.983,-18.824
oboe,9.816,7.941,4.941
oboe,12.595,18.219,13.243
oboe,7.877,14.906,19.668
oboe,6.698,8.017,0.389
flute,-23.393,-19.778,-22.625
oboe,-2.102,6.583,6.572
oboe,7.342,11.88,16.991
oboe,7.123,10.434,13.431
oboe,12.422,14.242,10.26
oboe,8.764,13.374,19.667
trumpet,-12.899,-17.388,-22.163
trumpet,-5.405,-16.744,-22.758
oboe,11.241,10.223,7.303
flute,-17.431,-15.17,-23.087
flute,-17.863,-17.688,-24.197
trumpet,-8.286,-12.361,-24.079
flute,-17.403,-17.94,-24.563
trumpet,-10.379,-17.295,-21.394
trumpet,-5.501,-7.108,-24.953
trumpet,-4.921,-23.52,-19.136
oboe,11.204,9.868,4.016
oboe,12.757,19.951,12.325
trumpet,-4.006,-13.167,-19.023
trumpet,-4.301,-14.382,-20.683
oboe,12.648,13.718,20.23
flute,-22.179,-16.504,-25.042
oboe,13.515,17.673,12.126
trumpet,-3.421,-16.672,-19.163
oboe,8.67,9.515,4.486
flute,-18.749,-18.686,-19.341
oboe,4.704,9.546,1.781
flute,-21.635,-16.869,-24.413
oboe,4.793,12.13,7.664
oboe,-4.607,7.026,-1.325
oboe,14.327,16.46,11.186
oboe,0.709,8.991,-9.848
trumpet,-5.316,-22.63,-19.3
oboe,6.758,9.642,15.262
oboe,3.764,8.334,3.118
trumpet,-8.489,-19.103,-18.945
trumpet,-7.987,-17.756,-24.087
oboe,14.032,10.965,4.063
trumpet,-5.454,-25.63,-22.627
oboe,7.246,9.35,-0.055
oboe,11.472,9.436,6.73
trumpet,-6.46,-22.267,-19.243
oboe,14.556,17.453,11.264
oboe,-3.981,2.022,14.784
trumpet,-7.356,-19.918,-25.568
oboe,7.323,10.167,6.672
oboe,4.748,-2.764,14.561
oboe,5.84,9.157,14.508
trumpet,-9.66,-15.415,-18.1
oboe,7.815,14.299,19.158
trumpet,-9.019,-23.325,-19.247
trumpet,-5.593,-16.812,-13.858
trumpet,-3.58,-22.557,-19.445
oboe,11.255,10.902,5.683
flute,-16.307,-15.317,-22.594
flute,-18.083,-12.585,-22.859
flute,-20.683,-19.957,-25.278
oboe,6.968,8.182,13.064
oboe,12.899,10.554,4.85
oboe,2.452,7.017,14.417
flute,-17.125,-18.771,-22.252
oboe,2.938,8.351,0.481
oboe,11.842,10.483,7.493
flute,-16.456,-18.411,-22.455
flute,-18.924,-20.126,-21.631
trumpet,-7.563,-15.304,-24.59
trumpet,-5.73,-18.367,-23.885
flute,-19.808,-19.709,-22.806
oboe,7.174,9.457,14.618
oboe,4.425,17.238,17.044
oboe,14.406,17.265,11.638
oboe,0.997,7.963,2.806
oboe,6.766,5.303,13.706
trumpet,-14.113,-17.306,-20.948
oboe,13.008,11.347,3.663
trumpet,-5.839,-18.096,-24.097
trumpet,-3.754,-17.721,-18.215
flute,-19.802,-23.397,-23.819
oboe,13.96,10.821,4.287
flute,-22.383,-13.851,-19.485
trumpet,-8.057,-10.174,-15.685
oboe,2.066,12.479,1.442
oboe,1.42,8.509,-12.564
flute,-18.277,-24.927,-20.582
oboe,-3.523,1.722,14.847
oboe,14.18,13.268,3.852
flute,-19.105,-18.182,-21.728
flute,-19.325,-22.889,-22.722
oboe,8.309,11.508,11.494
oboe,7.279,13.082,18.622
trumpet,-4.687,-23.799,-21.406
oboe,6.943,11.763,17.75
oboe,3.591,9.478,-1.044
flute,-21.076,-18.87,-23.177
oboe,6.909,9.414,13.041
oboe,4.255,9.084,-6.382
oboe,12.413,11.559,5.91
flute,-23.211,-18.971,-24.327
flute,-20.542,-15.651,-25.404
trumpet,-5.353,-25.108,-19.623
oboe,7.098,13.357,18.016
flute,-25.512,-20.459,-24.428
trumpet,-5.707,-24.486,-22.181
oboe,10.455,10.653,11.557
oboe,10.693,15.413,20.56
flute,-17.584,-18.756,-24.762
oboe,2.31,11.735,5.376
trumpet,-4.961,-18.773,-17.599
trumpet,-6.749,-22.184,-24.571
flute,-22.526,-15.559,-22.261
oboe,-3.136,6.349,4.648
oboe,-0.031,8.304,0.673
trumpet,-8.37,-18.134,-17.994
oboe,13.838,12.911,4.835
oboe,-1.798,7.145,2.572
oboe,-2.52,5.979,6.127
flute,-14.907,-15.575,-22.497
flute,-16.274,-13.14,-25.217
oboe,7.203,10.842,14.866
trumpet,-4.325,-22.87,-20.978
oboe,6.297,13.049,15.803
trumpet,-3.937,-20.779,-25.12
trumpet,-3.593,-25.825,-18.158
oboe,13.613,14.131,10.118
oboe,6.67,13.202,18.239
trumpet,-3.311,-21.717,-20.456
oboe,10.038,11.86,11.324
oboe,15.898,21.571,11.328
flute,-16.663,-18.979,-25.069
flute,-17.62,-14.935,-24.637
flute,-21.716,-16.464,-23.289
trumpet,-9.9,-14.912,-19.711
oboe,9.293,9.805,4.632
flute,-15.862,-17.96,-25.497
trumpet,-7.196,-20.656,-23.101
oboe,0.138,9.126,-8.533
trumpet,-4.381,-18.922,-21.16
trumpet,-2.901,-14.153,-17.261
oboe,7.523,6.442,12.977
trumpet,-13.792,-22.202,-25.914
oboe,13.739,13.257,5.364
flute,-20.153,-18.612,-20.104
trumpet,-6.554,-18.74,-22.685
oboe,3.325,10.184,-5.675
trumpet,-23.237,-17.961,-24.38
oboe,13.426,13.706,10.18
oboe,13.007,17.543,12.883
oboe,8.676,9.127,9.569
oboe,11.99,9.094,5.133
oboe,5.232,8.572,4.707
oboe,8.956,10.615,12.249
oboe,6.87,12.739,17.052
oboe,15.015,18.24,12.577
flute,-23.816,-18.372,-24.733
trumpet,-9.928,-12.481,-21.512
oboe,9.636,9.71,4.39
oboe,13.973,14.685,5.639
flute,-14.73,-20.517,-22.89
oboe,7.15,14.369,16.79
flute,-19.558,-20.998,-21.685
oboe,4.353,12.127,7.075
oboe,14.394,16.663,8.294
trumpet,-7.042,-20.6,-25.937
trumpet,-5.629,-14.605,-24.544
oboe,5.047,10.09,14.87
trumpet,-12.818,-24.223,-20.534
oboe,12.526,13.673,9.597
flute,-21.03,-19.727,-22.1
oboe,8.864,10.928,11.372
trumpet,-6.949,-18.944,-17.216
oboe,10.937,10.992,11.006
trumpet,-4.152,-16.353,-22.405
trumpet,-3.316,-20.863,-19.827
oboe,10.123,9.736,5.589
oboe,5.99,9.701,-0.486
oboe,14.255,23.511,10.295
trumpet,-5.265,-20.823,-19.223
oboe,6.379,10.843,14.921
flute,-18.065,-17.289,-24.244
oboe,8.141,11.151,10.385
oboe,6.819,11.266,11.027
trumpet,-8.61,-18.875,-24.982
oboe,11.642,11.067,9.976
oboe,14.415,19.802,13.481
oboe,6.313,14.496,17.515
trumpet,-6.338,-23.159,-24.641
oboe,8.51,9.787,10.485
oboe,8.862,11.53,10.767
oboe,7.115,13.874,18.559
oboe,12.4,10.929,6.306
trumpet,-6.284,-23.644,-14.433
flute,-18.993,-16.365,-21.149
oboe,4.372,-2.929,16.272
trumpet,-8.878,-23.019,-16.491
trumpet,-8.581,-19.064,-16.988
trumpet,-4.177,-20.315,-21.348
oboe,-4.392,3.206,8.403
oboe,6.237,10.33,4.757
oboe,2.466,9.487,-1.228
flute,-16.125,-25.24,-18.641
flute,-15.826,-18.568,-24.459
flute,-17.907,-16.941,-25.848
trumpet,-3.699,-19.325,-15.992
trumpet,-3.805,-13.46,-17.88
trumpet,-4.817,-16.423,-17.618
oboe,5.697,9.613,14.922
flute,-20.723,-17.02,-23.112
flute,-17.557,-13.593,-25.966
oboe,13.581,11.594,5.199
flute,-15.866,-18.329,-18.272
trumpet,-6.201,-17.007,-21.021
oboe,14.347,11.548,6.361
oboe,14.498,13.477,8.326
trumpet,-4.815,-17.712,-20.039
oboe,13.637,22.204,11.788
trumpet,-4.769,-20.145,-24.776
trumpet,-6.892,-19.794,-17.168
flute,-19.41,-15.9,-24.052
oboe,8.576,6.564,8.094
oboe,5.31,9.3,4.715
flute,-19.451,-24.021,-22.671
oboe,9.924,14.917,19.757
oboe,6.858,10.248,15.255
oboe,8.288,9.31,10.184
trumpet,-3.621,-20.676,-21.611
trumpet,-7.785,-22.248,-22.743
oboe,7.63,11.7,11.104
trumpet,-9.964,-9.083,-17.145
oboe,9.442,9.015,4.079
oboe,7.189,2.178,7.165
trumpet,-3.253,-22.44,-19.025
flute,-16.15,-14.366,-25.652
oboe,12.399,20.63,12.003
trumpet,-5.689,-20.527,-18.755
oboe,2.14,8.891,-16.474
flute,-17.374,-14.706,-22.741
oboe,6.637,13.61,18.015
trumpet,-7.003,-22.679,-19.601
oboe,14.944,17.021,11.021
trumpet,-4.483,-21.325,-20.382
trumpet,-4.933,-21.184,-18.708
trumpet,-5.531,-20.436,-21.246
oboe,13.153,11.477,3.605
oboe,5.019,9.899,-4.002
trumpet,-5.561,-20.526,-21.783
oboe,11.448,10.281,7.236
oboe,3.318,8.432,15.086
trumpet,-10.791,-20.724,-25.565
oboe,8.351,13.131,18.798
oboe,7.268,8.629,-2.399
flute,-20.341,-12.507,-18.862
oboe,10.842,15.041,20.3
oboe,6.932,12.416,17.465
trumpet,-4.133,-21.529,-20.68
flute,-20.42,-22.059,-23.752
oboe,14.268,16.295,9.417
flute,-21.549,-19.242,-25.882
trumpet,-10.343,-14.14,-20.772
oboe,7.587,12.359,17.928
oboe,7.035,13.787,18.234
trumpet,-4.002,-19.7,-20.578
oboe,3.409,6.761,14.753
oboe,-1.159,8.42,-2.37
trumpet,-7.431,-17.599,-16.462
oboe,-8.068,6.49,1.53
trumpet,-8.147,-19.819,-18.989
oboe,7.157,9.164,15.516
oboe,4.599,14.966,15.695
flute,-15.893,-21.199,-21.964
oboe,12.195,12.929,11.557
oboe,-0.162,9.345,-2.198
flute,-17.129,-16.927,-23.71
flute,-17.611,-14.75,-25.513
oboe,14.704,12.195,21.881
oboe,8.445,11.1,9.318
oboe,-1.605,8.518,-11.44
trumpet,-5.47,-25.729,-19.144
oboe,5.487,-2.744,14.651
oboe,11.752,10.064,6.147
oboe,14.625,17.267,7.43
trumpet,-6.695,-16.814,-18.892
trumpet,-4.358,-21.379,-21.234
trumpet,-9.229,-18.19,-18.156
oboe,7.428,11.327,14.75
oboe,7.666,11.53,13.442
oboe,4.811,12.098,7.393
trumpet,-4.596,-20.717,-22.105
trumpet,-3.437,-14.128,-18.693
oboe,13.968,14.745,7.845
flute,-21.323,-20.641,-25.581
flute,-20.084,-24.646,-25.937
oboe,-2.943,5.615,6.515
oboe,6.755,14.28,15.773
oboe,7.016,13.587,18.323
oboe,6.734,12.042,9.812
trumpet,-8.336,-18.714,-17.244
oboe,13.917,15.192,5.822
oboe,15.693,21.553,11.657
oboe,8.58,11.162,11.009
flute,-23.941,-18.733,-25.178
oboe,14.022,11.393,3.421
trumpet,-4.876,-17.745,-20.257
trumpet,-5.975,-21.028,-23.779
oboe,0.441,4.841,12.962
flute,-18.274,-23.564,-22.781
flute,-25.168,-17.438,-22.874
oboe,13.747,12.691,5.657
trumpet,-5.326,-19.176,-18.396
oboe,7.615,7.603,13.23
oboe,10.98,15.171,20.212
trumpet,-7.258,-19.051,-16.371
oboe,13.057,15.096,10.973
oboe,14.031,16.862,7.49
oboe,5.795,9.923,14.626
flute,-14.717,-14.141,-22.338
oboe,6.269,9.899,2.241
trumpet,-7.162,-16.805,-17.496
flute,-16.067,-16.866,-25.584
trumpet,-5.587,-20.719,-20.802
oboe,14.404,11.411,6.316
trumpet,-6.996,-16.794,-16.247
trumpet,-3.927,-19.773,-19.761
oboe,13.989,15.294,6.207
oboe,-1.49,9.041,-2.378
oboe,9.645,12.837,19.218
oboe,6.342,11.983,9.838
oboe,8.518,11.491,12.162
oboe,12.219,17.462,12.544
trumpet,-3.719,-23.539,-18.734
flute,-22.335,-13.359,-24.489
oboe,7.395,13.165,18.046
trumpet,-6.709,-3.904,-20.79
trumpet,-6.383,-17.738,-20.525
oboe,3.673,9.17,0.642
trumpet,-5.315,-20.102,-25.316
oboe,10.58,9.805,5.421
oboe,9.903,14.253,19.719
oboe,7.042,12.157,17.063
trumpet,-11.405,-15.382,-20.411
oboe,8.117,12.757,19.5
oboe,5.065,8.367,14.182
oboe,-5.556,8.853,-4.673
trumpet,-7.893,-17.98,-19.481
trumpet,-4.91,-22.474,-17.459
oboe,7.484,3.712,8.203
trumpet,-6.357,-20.575,-17.615
flute,-13.819,-14.113,-21.778
oboe,9.554,10.892,4.153
oboe,13.837,13.126,4.653
