instrument,harmo1,harmo2,harmo3
oboe,13.957,19.733,13.005
oboe,13.503,17.868,8.586
oboe,10.701,8.658,3.154
oboe,12.479,10.384,5.186
oboe,1.877,9.207,-7.701
oboe,4.23,16.924,16.948
oboe,7.427,4.996,11.692
trumpet,-3.902,-23.761,-20.289
oboe,-2.059,1.818,9.566
flute,-18.37,-22.493,-24.18
trumpet,-11.132,-17.19,-21.768
flute,-16.857,-17.477,-22.376
oboe,9.587,9.14,-0.789
flute,-22.073,-16.8,-24.13
flute,-19.74,-16.309,-25.158
flute,-23.922,-25.822,-24.598
flute,-17.216,-17.165,-22.475
oboe,13.047,12.833,6.474
flute,-16.574,-18.297,-25.506
oboe,14.23,12.313,6.589
flute,-16.894,-12.517,-25.841
oboe,9.144,9.098,3.19
oboe,13.015,17.968,9.68
oboe,-3.67,8.339,3.345
oboe,7.835,12.111,13.368
oboe,13.856,16.713,10.138
oboe,-2.506,8.79,-2.632
oboe,13.266,12.134,3.722
oboe,-3.778,9.254,-4.309
trumpet,-10.31,-17.402,-18.608
oboe,8.338,5.669,9.787
flute,-18.175,-17.668,-24.581
oboe,7.036,10.684,14.58
oboe,12.959,15.125,10.895
flute,-16.623,-14.138,-22.628
oboe,14.38,17.946,12.111
trumpet,-10.157,-21.371,-24.488
oboe,19.588,25.577,14.167
trumpet,-4.047,-13.289,-18.197
flute,-16.027,-12.785,-25.224
trumpet,-3.679,-19.387,-23.472
oboe,14.221,11.384,6.451
oboe,8.527,5.164,9.054
trumpet,-5.573,-15.659,-24.491
oboe,5.95,10.29,15.242
oboe,6.9,11.214,14.63
trumpet,-15.624,-13.778,-22.205
flute,-18.785,-23.094,-23.482
trumpet,-5.318,-23.285,-15.269
oboe,14.122,16.441,11.274
oboe,6.929,9.606,-1.677
oboe,7.187,13.833,18.562
oboe,-2.528,7.296,11.091
trumpet,-19.971,-15.356,-24.835
oboe,11.606,10.813,8.135
trumpet,-5.129,-15.365,-22.992
oboe,5.916,11.926,18.039
trumpet,-5.567,-14.023,-22.586
trumpet,-6.879,-17.552,-20.687
oboe,12.346,18.247,12.564
flute,-21.328,-13.881,-18.961
oboe,5.942,13.766,16.087
trumpet,-6.43,-18.006,-24.795
oboe,13.965,15.872,6.572
trumpet,-8.013,-17.961,-18.547
flute,-16.486,-15.727,-24.899
oboe,13.841,14.152,6.875
trumpet,-10.017,-18.527,-23.131
flute,-16.505,-18.361,-21.749
oboe,6.314,12.611,18.016
oboe,3.668,8.654,-2.974
trumpet,-7.741,-16.353,-20.094
oboe,-2.622,7.553,3.268
trumpet,-6.849,-19.689,-25.562
oboe,14.377,13.395,6.977
oboe,-1.978,2.2,14.972
oboe,6.657,10.691,14.633
oboe,-0.564,8.576,-3.433
flute,-17.037,-24.883,-24.102
oboe,11.897,14.193,19.839
oboe,0.231,9.43,-7.206
oboe,-0.701,7.525,12.006
oboe,10.812,10.368,6.391
flute,-16.085,-15.353,-24.195
oboe,9.685,10.819,12.351
oboe,14.678,16.608,10.276
oboe,3.495,8.652,3.061
oboe,10.067,10.724,12.502
oboe,13.655,14.931,10.913
oboe,14.568,21.845,12.102
oboe,12.306,18.943,12.934
oboe,7.202,11.11,14.273
oboe,9.541,9.887,2.147
oboe,2.695,9.299,-9.712
oboe,10.12,8.892,8.398
trumpet,-5.44,-20.622,-24.727
trumpet,-7.709,-20.654,-15.857
oboe,14.13,14.253,6.531
oboe,6.916,10.52,15.358
oboe,6.356,12.284,17.692
oboe,6.929,11.391,16.948
oboe,11.964,11.49,6.476
oboe,4.663,8.709,14.464
trumpet,-4.397,-21.031,-20.928
oboe,14.008,16.09,9.996
trumpet,-5.301,-19.172,-17.094
trumpet,-6.311,-20.498,-19.881
oboe,7.419,11.382,16.389
flute,-16.543,-13.706,-25.562
flute,-18.553,-15.982,-23.32
trumpet,-16.064,-14.764,-21.356
oboe,4.531,16.273,16.936
oboe,-0.814,9.054,-11.399
trumpet,-3.313,-21.27,-19.343
