freq_mean,time_len
27.250,5.000
28.452,5.250
27.543,5.750
27.380,6.250
26.224,7.250
26.450,5.000
29.088,4.250
26.405,5.250
25.630,5.750
25.833,4.500
26.450,5.000
27.605,4.750
29.088,4.250
26.804,5.750
26.978,5.750
26.462,6.500
26.543,5.750
26.333,4.500
27.188,4.000
26.889,4.500
26.450,5.000
26.605,4.750
26.722,4.500
22.543,5.750
25.625,4.000
23.500,4.750
31.438,4.000
31.269,3.250
31.227,2.750
30.900,3.750
27.786,3.500
27.000,2.500
26.423,3.250
27.278,4.500
26.500,3.500
28.250,4.000
27.786,3.500
28.500,3.250
28.682,2.750
26.192,3.250
25.591,2.750
26.500,3.500
24.633,3.750
28.868,4.750
28.132,4.750
29.333,4.500
27.667,6.000
27.500,6.000
27.227,5.500
26.111,4.500
26.567,3.750
25.318,5.500
22.375,4.000
22.375,6.000
24.591,2.750
25.389,2.250
25.500,3.500
24.917,3.000
23.962,3.250
24.119,5.250
21.346,6.500
22.283,5.750
23.583,3.000
21.875,4.000
21.900,3.750
23.889,4.500
22.033,3.750
26.324,4.250
26.735,4.250
22.650,5.000
22.889,4.500
23.150,5.000
22.265,4.250
26.605,4.750
23.630,5.750
26.000,4.500
